Station,State,Latitude,Longitude
Airoli,Maharashtra,19.15096,72.99625
Alandur,Tamil Nadu,13.0025,80.20611
Al_b_g,Maharashtra,18.64111,72.87917
Alleppey,Kerala,9.4833,76.316704
Andr_th Island,Kerala,10.81172,73.67569
Ankola,Karnataka,14.66667,74.3
Arnalapada,Maharashtra,19.450001,72.75
Badagara,Kerala,11.6,75.58333
Bambolim,Goa,15.45,73.85
Bandra,Maharashtra,19.0333,72.816704
Bankot,Maharashtra,17.9667,73.050003
Baruva,Andhra Pradesh,18.866699,84.599998
Betul,Goa,15.1333,73.949997
Beypore,Kerala,11.1667,75.800003
Bhar_ch,Gujarat,21.7,72.96667
Bhatkal,Karnataka,13.9667,74.533302
Bhayandar,Maharashtra,19.3,72.85
Bhimunipatnam,Andhra Pradesh,17.9,83.449997
Bilimora,Gujarat,20.75,72.95
Boat Island,Andaman and Nicobar Islands,11.5333,92.550003
Borivli,Maharashtra,19.23333,72.85
Calicut,Kerala,11.25,75.766701
Canacona,Goa,14.9959,74.05056
Candolim,Goa,15.51807,73.76259
Cannanore,Kerala,11.85,75.366699
Car Nicobar,Andaman and Nicobar Islands,9.1833,92.833298
Ch_vakk_d,Kerala,10.53333,76.05
Chennai (Madras),Tamil Nadu,13.1,80.300003
Chicalim,Goa,15.4,73.83333
Chinchani,Maharashtra,19.86667,72.7
Cinque Islands,Andaman and Nicobar Islands,11.3167,92.699997
Cleugh Passage,Andaman and Nicobar Islands,13.6167,93.066704
Coondapoor,Karnataka,13.6333,74.666702
Cuddalore,Tamil Nadu,11.7167,79.783302
D_h_nu,Maharashtra,19.96667,72.73333
Dam_n,Dadra and Nagar Haveli and Daman and Diu,20.41667,72.85
Devgarh,Maharashtra,16.383301,73.383301
Devi River Entrance,Odisha,19.950001,86.366699
Diamond Harbour,West Bengal,22.19167,88.18472
Diu,Dadra and Nagar Haveli and Daman and Diu,20.71405,70.98224
Dring Harbour,Andaman and Nicobar Islands,8.1,93.483299
Dwarka (Rupen Bandar),Gujarat,22.266701,68.949997
Expedition Harbour,Andaman and Nicobar Islands,8.05,93.483299
False Point,Odisha,20.4167,86.783302
Gajuwaka,Andhra Pradesh,17.7,83.21667
G_ndh_ Nagar,Tamil Nadu,13.00639,80.25417
Gangolli,Karnataka,13.65024,74.67072
Goa Velha,Goa,15.43333,73.86667
Godia Creek,Gujarat,23.25,68.599998
Gokarna,Karnataka,14.55,74.31667
Gop_lpur,Odisha,19.26667,84.91667
Haldia,West Bengal,22.06046,88.10975
Harnai,Maharashtra,17.8,73.1
Hoare Bay,Andaman and Nicobar Islands,12.9833,92.800003
Jafarabad,Gujarat,20.866699,71.383301
Jaigarh,Maharashtra,17.299999,73.233299
Jalebar,Andaman and Nicobar Islands,12.0167,92.966698
J_mnagar,Gujarat,22.46667,70.06667
Jodiya Bandar,Gujarat,22.71667,70.28333
Kadmat Island,Lakshadweep,11.22757,72.77687
Kakinada,Andhra Pradesh,16.9333,82.25
Kalingapatnam,Andhra Pradesh,18.35,84.133301
K_nkon,Goa,15.01667,74.01667
Karwar,Karnataka,14.8,74.116699
Kasaragod,Kerala,12.4667,74.983299
Katpur,Gujarat,21.05,71.78333
Kattiv_kkam,Tamil Nadu,13.21667,80.31667
Kavaratti,Lakshadweep,10.5667,72.616699
Kavaratti Island,Lakshadweep,10.56427,72.63885
Kayalpattinam,Tamil Nadu,8.57143,78.11992
Keelakarai,Tamil Nadu,9.23183,78.78545
Kochi (Cochin),Kerala,9.9667,76.266701
Kollam,Kerala,8.88056,76.59167
Kovalam,Kerala,8.36667,76.99667
Kulasekarapatnam,Tamil Nadu,8.4,78.050003
Kumta,Karnataka,14.4167,74.383301
Kushabhadra River,Odisha,19.85,86.050003
Long Island,Andaman and Nicobar Islands,12.3667,92.916702
Machil_patnam,Andhra Pradesh,16.16667,81.13333
Mahe,Puducherry,11.7,75.53333
Malpe,Karnataka,13.35,74.683296
Malvan,Maharashtra,16.049999,73.466698
Manavalakurichi,Tamil Nadu,8.13333,77.3
M_ndvi,Gujarat,22.83333,69.36667
Manjeshwara,Kerala,12.7,74.88333
Marmagao,Goa,15.4,73.8
Minicoy,Lakshadweep,8.2833,73.050003
Morjim,Goa,15.63097,73.73903
Mormugao,Goa,15.4167,73.800003
Mulappilang_d,Kerala,11.8,75.45
Mumbai (Bombay),Maharashtra,18.9167,72.833298
Murud-Janjira Harbour,Maharashtra,18.3167,72.966698
Murudeshwara,Karnataka,14.0943,74.4845
Musakazi Point,Maharashtra,16.616699,73.333298
Muttam Point,Tamil Nadu,8.1167,77.316704
Nagappattinam,Tamil Nadu,10.7667,79.849998
Nambutalai,Tamil Nadu,9.71667,79
Nancowry Harbour,Nicobar Islands,8.0333,93.550003
Navi Mumbai,Maharashtra,19.03681,73.01582
Nawabandar,Gujarat,20.75,71.083298
New Mangalore,Karnataka,12.9167,74.800003
Okha,Gujarat,22.4667,69.083298
Pamban Pass,Tamil Nadu,9.2667,79.199997
Paradip,Odisha,20.266701,86.699997
Pondicherry,Puducherry,11.9333,79.833298
Ponnani,Kerala,10.7833,75.900002
Porbandar,Gujarat,21.633301,69.599998
Port Anson,Andaman and Nicobar Islands,12.3167,92.716698
Port Blair,Andaman and Nicobar Islands,11.6833,92.766701
Port Cornwallis,Andaman and Nicobar Islands,13.3167,93.050003
Port Dabhol,Maharashtra,17.5833,73.183296
Porto Novo,Tamil Nadu,11.4833,79.766701
Puducherry,Puducherry,11.93,79.83
Puri,Odisha,19.8,85.85
Quilon,Kerala,8.8833,76.566704
Rameswaram,Tamil Nadu,9.2885,79.31271
Ratnagiri Bay,Maharashtra,16.983299,73.300003
Revadanda (Chaul),Maharashtra,18.549999,72.933296
Rewas Bandar,Maharashtra,18.8167,72.949997
Sacramento Shoal,Andhra Pradesh,16.6,82.316704
Satpati,Maharashtra,19.7167,72.699997
Shortt Island,Odisha,20.7833,87.066704
Solim,Goa,15.61667,73.76667
South (Galatea) Bay,Andaman and Nicobar Islands,6.7833,93.849998
Sr_vardhan,Maharashtra,18.03333,73.01667
Stewart Sound,Andaman and Nicobar Islands,13.0167,92.966698
Strait Island,Andaman and Nicobar Islands,12.2167,92.916702
S_rat,Gujarat,21.16667,72.83333
Taleigao,Goa,15.46667,73.8
Tellicherry,Kerala,11.75,75.483299
Temple Sound,Andaman and Nicobar Islands,13.4333,92.849998
Thalassery,Kerala,11.74778,75.48833
Th_ne,Maharashtra,19.2,72.96667
The Sisters,Northeast India,11.15,92.733299
Tiruvottiy_r,Tamil Nadu,13.15778,80.30417
Tondi,Tamil Nadu,9.73333,79.01667
Trivandrum,Kerala,8.4667,76.933296
Trombay,Maharashtra,19.0333,72.949997
Tuticorin,Tamil Nadu,8.75,78.199997
Vagator,Goa,15.59766,73.74496
Varkkallai,Kerala,8.7341,76.70671
Vasai (Bassein),Maharashtra,19.3167,72.800003
V_sco Da G_ma,Goa,15.39585,73.81568
Vengurla,Maharashtra,15.85,73.616699
Veraval,Gujarat,20.9,70.366699
Vijayadurg Harbour,Maharashtra,16.549999,73.333298
Vir_r,Maharashtra,19.46667,72.8
Vishakhapatnam,Andhra Pradesh,17.6833,83.283302
Y_r_da,Andhra Pradesh,17.65,83.26667